Date,Line item,Reference,Description,Amount (£k)
2026-05-03,Interest income,JNL-0501,Monthly interest accrual — interco loan to Haarby GmbH (£180m @ 4.8%),720
2026-05-03,Interest income,JNL-0502,Monthly interest accrual — external lending portfolio (rate increase +25bp),150
2026-05-15,Interest income,JNL-0515,New facility drawdown — Meridian Capital Ltd (£50m @ 5.1% effective 1 May),213
2026-05-31,Interest income,ADJ-0531,Prior period interest accrual catch-up — Q1 underprovision corrected,-213
2026-05-08,Fee income,JNL-0508,Advisory fee — Meridian Capital restructuring mandate (one-off),85
2026-05-12,Fee income,JNL-0512,Facility arrangement fee — new revolving credit facility,40
2026-05-20,Fee income,ADJ-0520,Accrual release — Hartley Group mandate completed final invoice raised,-65
2026-05-28,FX gains / (losses),JNL-0528,EUR/GBP retranslation loss — EUR-denominated interco balances (spot move),-127
2026-05-31,FX gains / (losses),ADJ-0531,FX hedge MTM gain — cross-currency swap (partial offset),42
2026-05-31,Staff costs,PAY-0531,Monthly payroll — 3 new hires (2x credit analysts 1x compliance started 1 May),-95
2026-05-31,Staff costs,PAY-0532,Annual bonus accrual true-up — Q2 performance revision upward,-25
2026-05-15,Technology & data,INV-0215,Bloomberg terminal uplift — 4 additional licences (annualised £48k pa),-48
2026-05-20,Technology & data,INV-0220,FactSet data subscription renewal — 12% price increase on prior year,-22
2026-05-10,Professional fees,INV-0310,Deloitte audit fee accrual — FY2025 statutory audit (final invoice),-55
2026-05-22,Professional fees,INV-0322,Linklaters legal fees — Meridian facility documentation,-25
2026-05-31,Intercompany charges,ICO-0531,Group treasury recharge — new transfer pricing policy (effective Jan 2026 Q2 catch-up included),-140
2026-05-31,Tax charge,TAX-0531,Current tax accrual — increased profitability vs prior month,-90
